,Product URL,Image URL,Freeship,Product ID,Name,Price,Discount Percentage,Rating,Reviews,Badge Under Price,Paid by Installments,Free Gifts
2846,https://tiki.vn/camera-hanh-trinh-navicom-j400s-chinh-hang-ghi-hinh-ca-khi-khong-co-the-nho-p70636070.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/17/5f/86/673dc198ae53f0533e8e2a569bb0d341.jpg,No,70636070,Camera hành trình Navicom J400S chính hãng- Ghi hình cả khi không có thẻ nhớ,4790000,13,80,1,No,No,No
2847,https://tiki.vn/action-camera-ezviz-s3-hang-chinh-hang-p7645115.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,7645115,Action Camera Ezviz S3 – Hàng Chính Hãng,2140000,30,0,0,Yes,No,No
2848,https://tiki.vn/dau-ghi-hinh-ip-h-265-4-kenh-hikvision-ds-7104ni-q1-m-hang-chinh-hang-p22627857.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/d3/9a/a1/32a64bcce836a0c0292d534cb01308e4.jpg,No,22627857,Đầu ghi hình IP H.265+ 4 kênh HIKVISION DS-7104NI-Q1/M - Hàng chính hãng,1090000,49,0,0,No,No,No
2849,https://tiki.vn/may-anh-nikon-z6-ngam-chuyen-nikon-ftz-hang-nhap-khau-p15374169.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/08/43/76/225d3df01504fdf181b86f18deb0ecf5.jpg,No,15374169,Máy Ảnh Nikon Z6 + Ngàm Chuyển Nikon Ftz - Hàng Nhập Khẩu,41990000,2,0,0,No,No,No
2850,https://tiki.vn/ong-nhom-mini-bo-tui-carson-jd-718-miniscout-hang-chinh-hang-p57270254.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,57270254,Ống nhòm mini bỏ túi Carson JD-718 MiniScout - Hàng chính hãng,930000,28,20,1,No,No,No
2851,https://tiki.vn/camera-hdcvi-2mp-full-color-24-7-dahua-dh-hac-hdw1239tlp-led-hang-nhap-khau-p58464271.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/70/f8/0d/aacea5311f7854c3f85cb0a5e44ed6d9.jpg,No,58464271,Camera HDCVI 2MP Full Color 24/7 DAHUA DH-HAC-HDW1239TLP-LED - Hàng Nhập Khẩu,849000,47,0,0,No,No,No
2852,https://tiki.vn/lens-hood-loa-che-nang-ew-83e-ong-kinh-canon-17-40mm-va-10-22mm-p7471229.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/94/19/64/57ae82a60a95fdb091caf8fcc5593506.jpg,No,7471229,Lens hood Loa che nắng EW-83E ống kính Canon 17-40mm và 10-22mm,99000,37,0,0,No,No,No
2853,https://tiki.vn/bo-2-pin-va-1-doc-sac-doi-kingma-cho-pin-sony-np-bx1-hang-chinh-hang-p56032737.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,56032737,BỘ 2 PIN VÀ 1 ĐỐC SẠC ĐÔI KINGMA CHO PIN SONY NP-BX1- HÀNG CHÍNH HÃNG,148888,40,100,2,No,No,No
2854,https://tiki.vn/thang-ghe-chup-hinh-3-bac-md009-p12672055.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/59/12/96/9cce1e242bf88eb86313c3a6b5e27720.jpg,No,12672055,Thang ghế chụp hình 3 bậc MD009,990000,18,20,1,No,No,No
2855,https://tiki.vn/may-anh-panasonic-lumix-lx100-ii-chinh-hang-p15158189.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,15158189,Máy Ảnh Panasonic Lumix LX100 II (Chính Hãng),20500000,0,0,0,No,Yes,No
